location_id,address_1,address_2,city,state,zip,county,location_source_value
1,NA,NA,NA,NA,SL6 9KA,NA,SL6 9KA
2,NA,NA,NA,NA,W2 4YR,NA,W2 4YR
3,NA,NA,NA,NA,WA2 1KG,NA,WA2 1KG
4,NA,NA,NA,NA,WV2 7GY,NA,WV2 7GY
5,NA,NA,NA,NA,NE2 6MF,NA,NE2 6MF
6,NA,NA,NA,NA,HU2 1AG,NA,HU2 1AG
7,NA,NA,NA,NA,SS6 0KM,NA,SS6 0KM
8,NA,NA,NA,NA,EC2 8JX,NA,EC2 8JX
9,NA,NA,NA,NA,LL73 7RO,NA,LL73 7RO
10,NA,NA,NA,NA,LD7 3QX,NA,LD7 3QX
11,NA,NA,NA,NA,BA2 2HL,NA,BA2 2HL
12,NA,NA,NA,NA,LN2 2EH,NA,LN2 2EH
13,NA,NA,NA,NA,WF2 9GL,NA,WF2 9GL
14,NA,NA,NA,NA,CF2 1CW,NA,CF2 1CW
15,NA,NA,NA,NA,NA,NA,Demo St. Elsewhere
16,NA,NA,NA,NA,NA,NA,X01
